Dp,dN/dlogDp,dN
14.6,8537.729667,1.33E+02
15.1,3905.156,6.10E+01
15.7,2006.814,3.14E+01
16.3,1137.157333,1.78E+01
16.8,863.4643333,1.35E+01
17.5,802.433,1.25E+01
18.1,799.4796667,1.25E+01
18.8,904.1703333,1.41E+01
19.5,991.895,1.55E+01
20.2,1405.401667,2.20E+01
20.9,1575.543333,2.46E+01
21.7,2048.594,3.20E+01
22.5,2752.04,4.30E+01
23.3,3747.01,5.85E+01
24.1,4943.042333,7.72E+01
25,6603.787667,1.03E+02
25.9,9151.122667,1.43E+02
26.9,12171.28767,1.90E+02
27.9,16610.628,2.60E+02
28.9,22165.85533,3.46E+02
30,27443.614,4.29E+02
31.1,34242.223,5.35E+02
32.2,42948.30133,6.71E+02
33.4,52942.506,8.27E+02
34.6,66734.895,1.04E+03
35.9,81821.69867,1.28E+03
37.2,98198.27867,1.53E+03
38.5,111157.3913,1.74E+03
40,149598.718,2.34E+03
41.4,166716.124,2.60E+03
42.9,189093.4873,2.95E+03
44.5,260246.2187,4.07E+03
46.1,340807.069,5.33E+03
47.8,437649.6683,6.84E+03
49.6,559650.16,8.74E+03
51.4,728235.1907,1.14E+04
53.3,932039.5513,1.46E+04
55.2,1146143.04,1.79E+04
57.3,1360937.859,2.13E+04
59.4,1584827.728,2.48E+04
61.5,1848361.765,2.89E+04
63.8,2116416.425,3.31E+04
66.1,2393888.192,3.74E+04
68.5,2656330.232,4.15E+04
71,2823534.088,4.41E+04
73.7,2923850.884,4.57E+04
76.4,2945388.715,4.60E+04
79.1,2918144.411,4.56E+04
82,2899606.93,4.53E+04
85.1,2948832.917,4.61E+04
88.2,3074843.05,4.80E+04
91.4,3202766.95,5.00E+04
94.7,3325087.616,5.20E+04
98.2,3385312.866,5.29E+04
101.8,3366036.635,5.26E+04
105.5,3265954.664,5.10E+04
109.4,3101250.213,4.85E+04
113.4,2917174.806,4.56E+04
117.6,2711329.044,4.24E+04
121.9,2513902.32,3.93E+04
126.3,2303683.203,3.60E+04
131,2096201.334,3.28E+04
135.8,1929810.957,3.02E+04
140.7,1824566.716,2.85E+04
145.9,1768137.503,2.76E+04
151.2,1759553.141,2.75E+04
156.8,1772937.763,2.77E+04
162.5,1823380.733,2.85E+04
168.5,1882899.431,2.94E+04
174.7,1943263.121,3.04E+04
181.1,1982215.6,3.10E+04
187.7,2052032.961,3.21E+04
194.6,2147428.386,3.36E+04
201.7,2256357.958,3.53E+04
209.1,2347169.53,3.67E+04
216.7,2392253.845,3.74E+04
224.7,2397340.075,3.75E+04
232.9,2373858.287,3.71E+04
241.4,2354602.558,3.68E+04
250.3,2341838.654,3.66E+04
259.5,2375458.428,3.71E+04
269,2458728.522,3.84E+04
278.8,2545093.746,3.98E+04
289,2632588.1,4.11E+04
299.6,2697726.459,4.22E+04
310.6,2641514.798,4.13E+04
322,2536011.264,3.96E+04
333.8,2388195.535,3.73E+04
346,2201233.169,3.44E+04
358.7,2012646.785,3.14E+04
371.8,1822819.961,2.85E+04
385.4,1634489.421,2.55E+04
399.5,1475699.05,2.31E+04
414.2,1324118.21,2.07E+04
429.4,1158755.686,1.81E+04
445.1,997727.5397,1.56E+04
461.4,862642.494,1.35E+04
478.3,741236.556,1.16E+04
495.8,630020.3697,9.84E+03
514,535469.9133,8.37E+03
532.8,450033.9197,7.03E+03
552.3,377418.2623,5.90E+03
572.5,312699.724,4.89E+03
593.5,256475.5903,4.01E+03
615.3,209172.1763,3.27E+03
637.8,171028.305,2.67E+03
661.2,140170.269,2.19E+03
685.4,115078.697,1.80E+03
